iter	RMSE
129	324.0451871
130	323.8231989
131	323.5983781
132	323.3294395
133	323.0739509
134	322.8373455
135	322.4497591
136	322.1263234
137	321.8772618
138	321.497373
139	321.1610381
140	320.8753132
141	320.4178981
142	320.0504556
143	319.8258456
144	319.6281329
145	319.341589
146	319.2132847
147	318.9915894
148	318.7487335
149	318.489641
150	318.270988
151	318.0059476
152	317.8000037
153	317.4865261
154	317.2891088
155	317.0934389
156	316.7864123
157	316.5087707
158	316.2673906
159	316.0759565
160	315.8911283
161	315.7064842
162	315.4627197
163	315.1797295
164	314.981369
165	314.7548653
166	314.586387
167	314.4081891
168	314.1186096
169	313.9564673
170	313.6623692
171	313.3336738
172	312.9601152
173	312.8021045
174	312.555233
175	312.2813522
176	312.0195427
177	311.8706848
178	311.7168682
179	311.3534264
180	311.1886386
181	310.982509
182	310.765398
183	310.6061347
184	310.3637124
185	310.2083816
186	310.0557531
187	309.90855
188	309.5366334
189	309.3305643
190	309.1869153
191	308.9706004
192	308.7514662
193	308.6160109
194	308.4954793
195	308.0938061
196	307.9240916
197	307.7252264
198	307.5661226
199	307.2812223
200	307.0756902
201	306.8889026
202	306.7104212
203	306.5484326
204	306.3333399
205	306.2328944
206	305.962492
207	305.7327113
208	305.477511
209	305.2672771
210	305.068535
211	304.6206814
212	304.5064186
213	304.3951872
214	304.2433839
215	303.9552169
216	303.724978
217	303.5649366
218	303.4584515
219	303.3547793
220	303.2059212
221	303.0277204
222	302.812877
223	302.6818397
224	302.4910264
225	302.3913922
226	302.2943751
227	302.1999004
228	302.1070972
229	301.978417
230	301.8210204
231	301.7339439
232	301.6491256
233	301.464935
234	301.2647903
235	301.1341216
236	300.9649132
237	300.8656101
238	300.7404044
239	300.6580643
240	300.487792
241	300.3676175
242	300.2504138
243	300.0518509
244	299.9393813
245	299.5212491
246	299.2905635
247	299.0676363
248	298.956143
249	298.805645
250	298.6705804
251	298.5412659
252	298.465369
253	298.3929728
254	298.3238918
255	298.2579511
256	298.1949857
257	298.0305609
258	297.7581752
259	297.6481279
260	297.5457355
261	297.2437224
262	297.0691792
263	296.9097839
264	296.7791475
265	296.7188684
266	296.6228189
267	296.5291502
268	296.4074174
269	296.1676693
270	295.8083263
271	295.7505961
272	295.5996503
273	295.4360983
274	295.337161
275	295.2811689
276	295.1041953
277	294.9036301
278	294.8234149
279	294.7084776
280	294.5976847
281	294.5140325
282	294.4324584
283	294.3094433
284	294.2213646
285	294.135887
286	293.5885552
287	293.5051807
288	293.2152083
289	293.0780776
290	293.0240458
291	292.8627226
292	292.7454614
293	292.6713989
294	292.483299
295	292.4319252
296	292.3355622
297	292.2075163
298	292.1582772
299	291.668776
300	291.5482863
301	291.4555992
302	291.3862671
303	291.2984478
304	291.1849259
305	291.1187128
306	291.0716271
307	291.0008973
308	290.9379402
309	290.8303526
310	290.6856363
311	290.5487
312	290.0997395
313	290.0380196
314	289.8781085
315	289.755661
316	289.3450873
317	289.2082202
318	289.0798448
319	289.0201238
320	288.9468758
321	288.9019237
322	288.8256714
323	288.7934899
324	288.7510908
325	288.6778338
326	288.637268
327	288.5854199
328	288.1820975
329	288.0863384
330	287.9388755
331	287.8852017
332	287.8117617
333	287.6837261
334	287.5948002
335	287.5424558
336	287.458419
337	287.3496135
338	287.2984849
339	287.2486514
340	287.1938777
341	286.8214857
342	286.7738078
343	286.7097553
344	286.5990698
345	286.5427439
346	286.1677845
347	286.1074322
348	286.049737
349	285.9759597
350	285.9266224
351	285.8981531
352	285.8452607
353	285.4996949
354	285.3676656
355	285.3401194
356	285.288827
357	285.0497931
358	284.951209
359	284.8974236
360	284.8709466
361	284.8198729
362	284.6971642
363	284.3025646
364	284.2772443
365	284.2286123
366	284.1853765
367	284.1391737
368	283.8241906
369	283.8001576
370	283.7521137
371	283.639953
372	283.6170204
373	283.443358
374	283.2818521
375	283.2598912
376	283.0356993
377	282.9067702
378	282.6707084
379	282.4606086
380	282.33794
381	282.2979591
382	281.9953329
383	281.9565824
384	281.8371019
385	281.8157114
386	281.7683813
387	281.7309203
388	281.5376019
389	281.4694975
390	281.179599
391	281.0673868
392	280.9736586
393	280.7562336
394	280.5806056
395	280.448055
396	280.3505914
397	280.3149437
398	280.0527556
399	279.7469498
400	279.591611
401	279.3023795
402	279.2535539
403	278.9241203
404	278.9032385
405	278.7312171
406	278.697694
407	278.5389386
408	278.4978483
409	278.2334908
410	278.1515585
411	277.913694
412	277.6942917
413	277.4249128
414	277.4042891
415	277.3008718
416	277.2051431
417	277.1154549
418	277.0745673
419	276.8266355
420	276.7244535
421	276.4313793
422	276.2942693
423	276.2544365
424	276.1238658
425	276.0895197
426	276.0258781
427	275.9047718
428	275.6857839
429	275.6186982
430	275.5593645
431	275.4701163
432	275.3491351
433	275.3145065
434	275.18216
435	274.9455044
436	274.9048614
437	274.7843642
438	274.76452
439	274.6748812
440	274.4674139
441	274.1591935
442	273.8679297
443	273.7702873
444	273.5811028
445	273.4703626
446	273.334886
447	273.1022015
448	273.0706565
449	273.0349938
450	272.9693105
451	272.7496824
452	272.6302853
453	272.5164801
454	272.4858275
455	272.3455449
456	272.0937196
457	272.0381917
458	271.9657271
459	271.9146383
460	271.8880459
461	271.7805723
462	271.6937288
463	271.6083392
464	271.3961047
465	271.299913
466	271.2667017
467	271.2351987
468	271.1747096
469	271.1106923
470	270.8425086
471	270.6712062
472	270.6070347
473	270.5314971
474	270.4451332
475	270.4133833
476	270.2535406
477	270.0741884
478	270.0556279
479	269.8077133
480	269.5796535
481	269.5425596
482	269.5180125
483	269.3943081
484	269.1502548
485	269.0711807
486	269.0281855
487	268.8708878
488	268.8418435
489	268.615276
490	268.5848218
491	268.5552149
492	268.5150253
493	268.4977213
494	268.3407333
495	268.2560376
496	268.1112177
497	267.9022651
498	267.8734993
499	267.6857522
500	267.4803497
501	267.4462829
502	267.2725455
503	267.1991924
504	267.1684884
505	267.0589077
506	266.918628
507	266.8084077
508	266.7784834
509	266.6318727
510	266.6041754
511	266.5789611
512	266.5536557
513	266.4678666
514	266.3131306
515	266.2291158
516	266.1468651
517	266.1197871
518	266.0104685
519	265.9860517
520	265.8933528
521	265.8292894
522	265.8027731
523	265.7346385
524	265.6277671
525	265.5289705
526	265.3973904
527	265.3323094
528	265.3166608
529	265.2298427
530	265.2147118
531	265.1945433
532	265.1235832
533	265.0982966
534	265.031867
535	264.8135523
536	264.7340046
537	264.6893429
538	264.6612963
539	264.6366092
540	264.5622677
541	264.4398023
542	264.4191201
543	264.3048859
544	264.2452067
545	264.1149758
546	264.0933577
547	264.003149
548	263.8150833
549	263.7517445
550	263.7100816
551	263.6398212
552	263.6021054
553	263.5426802
554	263.4754073
555	263.4411776
556	263.3186369
557	263.2733985
558	263.1812439
559	263.1203682
560	262.9231816
561	262.9092758
562	262.6935019
563	262.6705128
564	262.5543235
565	262.541185
566	262.4453576
567	262.2827635
568	262.2524173
569	262.1593773
570	262.1380929
571	262.0983836
572	262.0391274
573	261.9589884
574	261.8079735
575	261.7862803
576	261.7710717
577	261.6632826
578	261.5804737
579	261.5599826
580	261.4935433
581	261.4450173
582	261.2522887
583	261.2315747
584	261.2202981
585	261.1188898
586	261.0572324
587	261.0387938
588	260.96181
589	260.9509906
590	260.8988964
591	260.8815228
592	260.8430595
593	260.7668119
594	260.7422283
595	260.7118471
596	260.5879171
597	260.5002414
598	260.444977
599	260.4166479
600	260.3772508
601	260.3605454
602	260.2271724
603	260.1848454
604	260.1749753
605	260.1068596
606	260.0734357
607	259.9334762
608	259.8340444
609	259.8169267
610	259.7485388
611	259.6616016
612	259.6478477
613	259.6280517
614	259.6126574
615	259.5373484
616	259.5239741
617	259.5082456
618	259.4994135
619	259.3762621
620	259.3048037
621	259.2456757
622	259.2317113
623	259.2049049
624	259.1913398
625	259.0550506
626	259.0409783
627	258.943338
628	258.8169405
629	258.7079815
630	258.6820943
631	258.6226926
632	258.5821872
633	258.5695633
634	258.3916759
635	258.3726608
636	258.3210251
637	258.3060984
638	258.2044452
639	258.1486435
640	258.0724725
641	258.057414
642	257.9930655
643	257.8918517
644	257.7146941
645	257.659354
646	257.646003
647	257.5503044
648	257.3849492
649	257.2916544
650	257.272732
651	257.2595228
652	257.2072203
653	257.1742093
654	257.0617254
655	257.0001222
656	256.9873505
657	256.9750983
658	256.9525715
659	256.9408066
660	256.9224108
661	256.9115649
662	256.7831265
663	256.7114978
664	256.583856
665	256.5478698
666	256.451173
667	256.4342519
668	256.3352611
669	256.2223912
670	256.1663546
671	256.0748083
672	256.0588295
673	256.0374839
674	255.9810611
675	255.9660222
676	255.9547961
677	255.799029
678	255.757831
679	255.6453867
680	255.5217412
681	255.5079806
682	255.4052446
683	255.3658492
684	255.2795626
685	255.2674684
686	255.2065415
687	255.1410921
688	255.0811648
689	254.9895444
690	254.9398436
691	254.8884621
692	254.8548961
693	254.7487828
694	254.6809392
695	254.6251522
696	254.616227
697	254.5301135
698	254.518344
699	254.5050843
700	254.4968773
701	254.4889857
702	254.3697264
703	254.3577343
704	254.3465989
705	254.3166528
706	254.2335853
707	254.2221363
708	254.2113284
709	254.1534531
710	254.1432431
711	254.0728972
712	254.0632665
713	254.0502416
714	253.9459859
715	253.8435876
716	253.7046291
717	253.6427735
718	253.6364393
719	253.6025021
720	253.5702167
721	253.555949
722	253.5272702
723	253.5224644
724	253.5045657
725	253.4125109
726	253.3914354
727	253.3135158
728	253.2531829
729	253.2468328
730	253.1831891
731	253.1441843
732	253.1354355
733	253.1176138
734	253.1059061
735	253.0023788
736	252.9941725
737	252.9722693
738	252.9513922
739	252.8035601
740	252.7947269
741	252.6993039
742	252.6282433
743	252.557245
744	252.5196964
745	252.4663064
746	252.4167602
747	252.4096357
748	252.3238152
749	252.2803525
750	252.1729603
751	252.0858449
752	252.0774497
753	252.0612182
754	252.0313505
755	251.9792107
756	251.8991452
757	251.7827154
758	251.6157279
759	251.5911134
760	251.531421
761	251.5208448
762	251.5069954
763	251.4967605
764	251.4821047
765	251.4263938
766	251.4070828
767	251.3483332
768	251.3263328
769	251.2531153
770	251.2024885
771	251.1219389
772	251.0311064
773	250.9931526
774	250.9429429
775	250.8747518
776	250.8177253
777	250.7828817
778	250.7566133
779	250.6771173
780	250.6235714
781	250.6181292
782	250.5423961
783	250.5252322
784	250.4726566
785	250.4639921
786	250.3873531
787	250.3315463
788	250.2816476
789	250.2767769
790	250.2502341
791	250.242169
792	250.2169022
793	250.21187
794	250.2080649
795	250.137786
796	250.0411982
797	249.991312
798	249.8722769
799	249.8606942
800	249.8105768
801	249.792947
802	249.7838867
803	249.7774507
804	249.7163509
805	249.6548394
806	249.6111527
807	249.5431293
808	249.4146396
809	249.3246192
810	249.3193004
811	249.2605215
812	249.1709257
813	249.1250948
814	249.0594695
815	248.8959339
816	248.8027957
817	248.7423388
818	248.7091774
819	248.6264521
820	248.6188696
821	248.6093125
822	248.6021882
823	248.502662
824	248.4653181
825	248.4608995
826	248.3835888
827	248.2842134
828	248.2600274
829	248.2088576
830	248.2006947
831	248.1961087
832	248.1787781
833	248.1057702
834	248.0996895
835	248.0265009
836	247.96657
837	247.9375799
838	247.8938339
839	247.8262183
840	247.686853
841	247.5573237
842	247.4916204
843	247.4195288
844	247.4134987
845	247.2854028
846	247.236328
847	247.2306831
848	247.2268835
849	247.1734685
850	247.1696848
851	247.1267914
852	247.0504183
853	246.964201
854	246.9482271
855	246.8949174
856	246.8421574
857	246.838404
858	246.7869665
859	246.7458521
860	246.6895454
861	246.6808416
862	246.6333774
863	246.624908
864	246.5685487
865	246.5467759
866	246.5016902
867	246.4605786
868	246.4132239
869	246.3475078
870	246.2923029
871	246.2198425
872	246.1370175
873	246.0590337
874	245.9874877
875	245.9821127
876	245.9179536
877	245.8408164
878	245.832929
879	245.8277307
880	245.8058155
881	245.7292901
882	245.6292612
883	245.5435576
884	245.4839566
885	245.4427592
886	245.3704077
887	245.3200715
888	245.261192
889	245.2376719
890	245.2235185
891	245.2171047
892	245.1618844
893	245.1182672
894	245.051763
895	244.9889966
896	244.9451583
897	244.8940013
898	244.8394075
899	244.8344847
900	244.7644286
901	244.6565894
902	244.6533222
903	244.6035385
904	244.5907166
905	244.575852
906	244.5618146
907	244.5055207
908	244.4527771
909	244.4031607
910	244.3579387
911	244.30557
912	244.2529165
913	244.2369833
914	244.1829127
915	244.0683579
916	244.0345454
917	243.9843519
918	243.9241251
919	243.920849
920	243.8221323
921	243.8100801
922	243.7653939
923	243.7589154
924	243.7165548
925	243.6233124
926	243.5785556
927	243.4587511
928	243.3905493
929	243.3876417
930	243.3848139
931	243.3422934
932	243.313217
933	243.2889783
934	243.2327631
935	243.1925273
936	243.145684
937	243.1224742
938	243.0848951
939	243.0269605
940	242.9889643
941	242.9309901
942	242.9021153
943	242.8513426
944	242.815336
945	242.8036698
946	242.7567429
947	242.7180852
948	242.6967835
949	242.621434
950	242.6068516
951	242.5861315
952	242.5366055
953	242.4785996
954	242.4643186
955	242.4093534
956	242.3159152
957	242.2532474
958	242.1660696
959	242.1437145
960	242.1050055
961	242.0668384
962	242.0353586
963	242.032428
964	241.9557914
965	241.9395648
966	241.9031302
967	241.8997517
968	241.8697184
969	241.7989976
970	241.7963135
971	241.7915807
972	241.7421128
973	241.712215
974	241.6602299
975	241.594098
976	241.537989
977	241.4800103
978	241.4427778
979	241.4041215
980	241.3709198
981	241.3293005
982	241.2984001
983	241.2722484
984	241.2617816
985	241.1960433
986	241.193287
987	241.1775185
988	241.1392869
989	241.099901
990	241.092687
991	241.0721651
992	241.0008143
993	240.977369
994	240.9490155
995	240.8966623
996	240.8418848
997	240.8117783
998	240.7370344
999	240.6627167
